"Daily BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SAR","USD/EUR","USD/CNY","USD/JPY","USD/GBP","","","","",""
"2016-01-08","3.7540","0.9183","6.5906","118.04","0.6852",,,,,
"2016-01-07","3.7544","0.9230","6.5853","117.96","0.6847",,,,,
"2016-01-06","3.7515","0.9301","6.5472","118.65","0.6826",,,,,
"2016-01-05","3.7511","0.9270","6.5230","119.21","0.6805",,,,,
"2016-01-04","3.7518","0.9202","6.5224","119.48","0.6787",,,,,
"2016-01-03","3.7523","0.9199","6.5015","120.20","0.6784",,,,,
"2016-01-02","3.7523","0.9199","6.5114","120.20","0.6784",,,,,
"2016-01-01","3.7523","0.9199","6.5084","120.20","0.6784",,,,,
"2015-12-31","3.7522","0.9168","6.4907","120.36","0.6755",,,,,
"2015-12-30","3.7502","0.9152","6.4888","120.49","0.6745",,,,,
"2015-12-29","3.7495","0.9124","6.4847","120.38","0.6729",,,,,
"2015-12-28","3.7495","0.9112","6.4774","120.39","0.6706",,,,,
"2015-12-27","3.7505","0.9120","6.4670","120.27","0.6701",,,,,
"2015-12-26","3.7505","0.9120","6.4605","120.27","0.6701",,,,,
"2015-12-25","3.7505","0.9120","6.4633","120.27","0.6701",,,,,
"2015-12-24","3.7501","0.9140","6.4767","120.52","0.6711",,,,,
"2015-12-23","3.7498","0.9152","6.4772","120.96","0.6732",,,,,
"2015-12-22","3.7508","0.9145","6.4781","121.08","0.6726",,,,,
"2015-12-21","3.7511","0.9189","6.4810","121.24","0.6709",,,,,
"2015-12-20","3.7493","0.9199","6.4823","121.12","0.6711",,,,,
"2015-12-19","3.7493","0.9199","6.4823","121.12","0.6710",,,,,
"2015-12-18","3.7499","0.9226","6.4813","121.84","0.6705",,,,,
"2015-12-17","3.7487","0.9215","6.4810","122.51","0.6694",,,,,
"2015-12-16","3.7489","0.9144","6.4688","121.83","0.6653",,,,,
"2015-12-15","3.7489","0.9101","6.4608","121.16","0.6607",,,,,
"2015-12-14","3.7492","0.9105","6.4502","120.94","0.6592",,,,,
"2015-12-13","3.7487","0.9093","6.4353","120.96","0.6565",,,,,
"2015-12-12","3.7487","0.9093","6.4376","120.95","0.6565",,,,,
"2015-12-11","3.7492","0.9124","6.4502","121.56","0.6592",,,,,
"2015-12-10","3.7494","0.9108","6.4357","121.55","0.6591",,,,,
"2015-12-09","3.7495","0.9143","6.4272","122.43","0.6635",,,,,
"2015-12-08","3.7491","0.9206","6.4167","123.08","0.6656",,,,,
"2015-12-07","3.7494","0.9218","6.3981","123.29","0.6629",,,,,
"2015-12-06","3.7499","0.9186","6.3911","123.08","0.6616",,,,,
"2015-12-05","3.7499","0.9186","6.3911","123.08","0.6616",,,,,
"2015-12-04","3.7498","0.9170","6.3895","122.82","0.6613",,,,,
"2015-12-03","3.7489","0.9357","6.3880","123.20","0.6673",,,,,
"2015-12-02","3.7494","0.9427","6.3887","123.13","0.6654",,,,,
"2015-12-01","3.7499","0.9437","6.3887","122.99","0.6631",,,,,
"2015-11-30","3.7501","0.9452","6.3882","122.93","0.6652",,,,,
"2015-11-29","3.7509","0.9437","6.3880","122.70","0.6648",,,,,
"2015-11-28","3.7509","0.9437","6.3850","122.71","0.6648",,,,,
"2015-11-27","3.7510","0.9432","6.3842","122.63","0.6635",,,,,
"2015-11-26","3.7510","0.9419","6.3793","122.60","0.6618",,,,,
"2015-11-25","3.7517","0.9404","6.3790","122.55","0.6624",,,,,
"2015-11-24","3.7505","0.9396","6.3796","122.63","0.6618",,,,,
"2015-11-23","3.7493","0.9411","6.3779","123.03","0.6597",,,,,
"2015-11-22","3.7494","0.9392","6.3750","122.72","0.6581",,,,,
"2015-11-21","3.7494","0.9392","6.3750","122.73","0.6581",,,,,
"2015-11-20","3.7490","0.9350","6.3738","122.86","0.6553",,,,,
"2015-11-19","3.7490","0.9345","6.3715","123.17","0.6547",,,,,
"2015-11-18","3.7481","0.9388","6.3746","123.40","0.6573",,,,,
"2015-11-17","3.7487","0.9378","6.3686","123.32","0.6579",,,,,
"2015-11-16","3.7489","0.9327","6.3705","122.78","0.6575",,,,,
"2015-11-15","3.7492","0.9279","6.3740","122.56","0.6558",,,,,
"2015-11-14","3.7492","0.9280","6.3638","122.56","0.6559",,,,,
"2015-11-13","3.7489","0.9283","6.3740","122.68","0.6570",,,,,
"2015-11-12","3.7488","0.9298","6.3585","122.87","0.6574",,,,,
"2015-11-11","3.7488","0.9311","6.3556","123.00","0.6592",,,,,
"2015-11-10","3.7488","0.9318","6.3512","123.20","0.6617",,,,,
"2015-11-09","3.7487","0.9295","6.3500","123.31","0.6630",,,,,
"2015-11-08","3.7491","0.9308","6.3426","123.05","0.6640",,,,,
"2015-11-07","3.7499","0.9310","6.3426","123.15","0.6602",,,,,
"2015-11-06","3.7477","0.9228","6.3533","122.20","0.6602",,,,,
"2015-11-05","3.7486","0.9199","6.3355","121.64","0.6523",,,,,
"2015-11-04","3.7487","0.9157","6.3258","121.27","0.6490",,,,,
"2015-11-03","3.7487","0.9099","6.3266","120.85","0.6487",,,,,
"2015-11-02","3.7490","0.9069","6.3278","120.54","0.6476",,,,,
"2015-11-01","3.7485","0.9082","6.3081","120.59","0.6480",,,,,
"2015-10-31","3.7485","0.9082","6.3185","120.59","0.6480",,,,,
"2015-10-30","3.7487","0.9089","6.3469","120.75","0.6511",,,,,
"2015-10-29","3.7488","0.9136","6.3469","120.91","0.6546",,,,,
"2015-10-28","3.7487","0.9061","6.3484","120.48","0.6535",,,,,
"2015-10-27","3.7480","0.9048","6.3424","120.54","0.6521",,,,,
"2015-10-26","3.7485","0.9062","6.3431","121.07","0.6519",,,,,
"2015-10-25","3.7487","0.9075","6.3391","121.43","0.6527",,,,,
"2015-10-24","3.7487","0.9075","6.3493","121.43","0.6527",,,,,
"2015-10-23","3.7479","0.9022","6.3449","120.84","0.6503",,,,,
"2015-10-22","3.7485","0.8876","6.3449","120.05","0.6482",,,,,
"2015-10-21","3.7487","0.8808","6.3377","119.92","0.6475",,,,,
"2015-10-20","3.7476","0.8814","6.3413","119.64","0.6463",,,,,
"2015-10-19","3.7483","0.8814","6.3500","119.39","0.6469",,,,,
"2015-10-18","3.7438","0.8807","6.3527","119.40","0.6475",,,,,
"2015-10-17","3.7438","0.8807","6.3426","119.40","0.6475",,,,,
"2015-10-16","3.7478","0.8795","6.3435","119.16","0.6468",,,,,
"2015-10-15","3.7473","0.8742","6.3353","118.67","0.6461",,,,,
"2015-10-14","3.7472","0.8759","6.3374","119.43","0.6514",,,,,
"2015-10-13","3.7481","0.8792","6.3296","119.82","0.6542",,,,,
"2015-10-12","3.7483","0.8794","6.3130","120.10","0.6518",,,,,
"2015-10-11","3.7478","0.8803","6.3353","120.15","0.6524",,,,,
"2015-10-10","3.7478","0.8803","6.3455","120.15","0.6524",,,,,
"2015-10-09","3.7482","0.8831","6.3364","120.12","0.6516",,,,,
"2015-10-08","3.7482","0.8875","6.3427","119.88","0.6527",,,,,
"2015-10-07","3.7477","0.8885","6.3461","120.05","0.6545",,,,,
"2015-10-06","3.7474","0.8914","6.3461","120.35","0.6588",,,,,
"2015-10-05","3.7484","0.8911","6.3461","120.16","0.6584",,,,,
"2015-10-04","3.7482","0.8916","6.3461","119.88","0.6584",,,,,
"2015-10-03","3.7482","0.8916","6.3461","119.88","0.6584",,,,,
"2015-10-02","3.7485","0.8925","6.3461","119.85","0.6594",,,,,
"2015-10-01","3.7486","0.8953","6.3461","119.93","0.6606",,,,,
"2015-09-30","3.7486","0.8915","6.3468","119.95","0.6598",,,,,
"2015-09-29","3.7489","0.8893","6.3538","119.75","0.6593",,,,,
"2015-09-28","3.7489","0.8930","6.3590","120.16","0.6581",,,,,
"2015-09-27","3.7483","0.8925","6.3641","120.55","0.6584",,,,,
"2015-09-26","3.7483","0.8925","6.3641","120.55","0.6584",,,,,
"2015-09-25","3.7489","0.8950","6.3651","120.55","0.6575",,,,,
"2015-09-24","3.7488","0.8917","6.3721","119.89","0.6556",,,,,
"2015-09-23","3.7487","0.8972","6.3736","120.11","0.6533",,,,,
"2015-09-22","3.7483","0.8954","6.3651","120.18","0.6471",,,,,
"2015-09-21","3.7482","0.8876","6.3590","120.19","0.6441",,,,,
"2015-09-20","3.7482","0.8845","6.3543","119.93","0.6436",,,,,
"2015-09-19","3.7482","0.8845","6.3543","119.93","0.6436",,,,,
"2015-09-18","3.7471","0.8773","6.3540","119.73","0.6415",,,,,
"2015-09-17","3.7476","0.8833","6.3563","120.67","0.6441",,,,,
"2015-09-16","3.7484","0.8868","6.3606","120.42","0.6489",,,,,
"2015-09-15","3.7487","0.8848","6.3595","120.08","0.6492",,,,,
"2015-09-14","3.7483","0.8826","6.3580","120.29","0.6479",,,,,
"2015-09-13","3.7445","0.8817","6.3650","120.56","0.6480",,,,,
"2015-09-12","3.7445","0.8817","6.3650","120.56","0.6480",,,,,
"2015-09-11","3.7477","0.8853","6.3645","120.66","0.6478",,,,,
"2015-09-10","3.7470","0.8908","6.3694","120.64","0.6495",,,,,
"2015-09-09","3.7469","0.8947","6.3660","120.53","0.6502",,,,,
"2015-09-08","3.7488","0.8944","6.3572","119.64","0.6516",,,,,
"2015-09-07","3.7491","0.8963","6.3561","119.29","0.6564",,,,,
"2015-09-06","3.7482","0.8963","6.3459","118.99","0.6587",,,,,
"2015-09-05","3.7482","0.8963","6.3459","118.99","0.6587",,,,,
"2015-09-04","3.7487","0.8982","6.3484","119.34","0.6568",,,,,
"2015-09-03","3.7488","0.8937","6.3484","120.28","0.6545",,,,,
"2015-09-02","3.7485","0.8877","6.3484","120.03","0.6535",,,,,
"2015-09-01","3.7487","0.8876","6.3562","120.31","0.6513",,,,,
"2015-08-31","3.7488","0.8913","6.3671","121.22","0.6493",,,,,
"2015-08-30","3.7489","0.8938","6.3785","121.66","0.6495",,,,,
"2015-08-29","3.7489","0.8938","6.3785","121.66","0.6495",,,,,
"2015-08-28","3.7490","0.8895","6.3797","121.06","0.6492",,,,,
"2015-08-27","3.7490","0.8853","6.3964","120.38","0.6469",,,,,
"2015-08-26","3.7486","0.8733","6.4028","119.37","0.6402",,,,,
"2015-08-25","3.7482","0.8684","6.4028","119.48","0.6348",,,,,
"2015-08-24","3.7484","0.8699","6.3931","120.20","0.6364",,,,,
"2015-08-23","3.7458","0.8779","6.3789","121.96","0.6368",,,,,
"2015-08-22","3.7458","0.8779","6.3789","121.96","0.6368",,,,,
"2015-08-21","3.7476","0.8857","6.3815","122.78","0.6372",,,,,
"2015-08-20","3.7487","0.8961","6.3813","123.81","0.6380",,,,,
"2015-08-19","3.7489","0.9045","6.3868","124.23","0.6382",,,,,
"2015-08-18","3.7490","0.9043","6.3869","124.38","0.6397",,,,,
"2015-08-17","3.7482","0.9015","6.3846","124.39","0.6397",,,,,
"2015-08-16","3.7464","0.8998","6.3818","124.28","0.6389",,,,,
"2015-08-15","3.7464","0.8998","6.3818","124.28","0.6389",,,,,
"2015-08-14","3.7483","0.8974","6.3845","124.32","0.6400",,,,,
"2015-08-13","3.7479","0.8980","6.3941","124.40","0.6404",,,,,
"2015-08-12","3.7486","0.8996","6.3923","124.58","0.6413",,,,,
"2015-08-11","3.7492","0.9072","6.3125","124.83","0.6418",,,,,
"2015-08-10","3.7487","0.9112","6.1997","124.49","0.6446",,,,,
"2015-08-09","3.7489","0.9116","6.1997","124.18","0.6451",,,,,
"2015-08-08","3.7489","0.9116","6.1997","124.18","0.6451",,,,,
"2015-08-07","3.7488","0.9148","6.1997","124.60","0.6451",,,,,
"2015-08-06","3.7491","0.9166","6.1997","124.77","0.6421",,,,,
"2015-08-05","3.7489","0.9193","6.1997","124.51","0.6417",,,,,
"2015-08-04","3.7490","0.9133","6.1996","124.03","0.6412",,,,,
"2015-08-03","3.7490","0.9116","6.1997","124.02","0.6405",,,,,
"2015-08-02","3.7489","0.9102","6.1998","123.80","0.6399",,,,,
"2015-08-01","3.7489","0.9102","6.1998","123.80","0.6399",,,,,
"2015-07-31","3.7491","0.9111","6.1998","124.02","0.6407",,,,,
"2015-07-30","3.7492","0.9129","6.1997","124.19","0.6408",,,,,
"2015-07-29","3.7490","0.9051","6.0847","123.64","0.6401",,,,,
"2015-07-28","3.7490","0.9038","6.0847","123.51","0.6418",,,,,
"2015-07-27","3.7491","0.9050","6.0847","123.40","0.6436",,,,,
"2015-07-26","3.7489","0.9099","6.0847","123.76","0.6443",,,,,
"2015-07-25","3.7489","0.9099","6.0847","123.76","0.6443",,,,,
"2015-07-24","3.7492","0.9116","6.0847","123.88","0.6449",,,,,
"2015-07-23","3.7489","0.9119","6.0847","123.92","0.6416",,,,,
"2015-07-22","3.7489","0.9153","6.0847","123.84","0.6412",,,,,
"2015-07-21","3.7487","0.9201","6.0847","124.22","0.6426",,,,,
"2015-07-20","3.7477","0.9226","6.0847","124.20","0.6416",,,,,
"2015-07-19","3.7489","0.9232","6.0847","123.99","0.6405",,,,,
"2015-07-18","3.7489","0.9232","6.0847","123.99","0.6405",,,,,
"2015-07-17","3.7488","0.9195","6.0883","124.07","0.6402",,,,,
"2015-07-16","3.7492","0.9165","6.0896","123.95","0.6403",,,,,
"2015-07-15","3.7493","0.9099","6.0889","123.58","0.6396",,,,,
"2015-07-14","3.7493","0.9082","6.0882","123.40","0.6437",,,,,
"2015-07-13","3.7492","0.9023","6.0882","123.04","0.6444",,,,,
"2015-07-12","3.7489","0.8958","6.0883","122.72","0.6440",,,,,
"2015-07-11","3.7489","0.8958","6.0883","122.72","0.6440",,,,,
"2015-07-10","3.7492","0.8990","6.0884","122.21","0.6472",,,,,
"2015-07-09","3.7494","0.9047","6.0896","121.20","0.6502",,,,,
"2015-07-08","3.7492","0.9067","6.0922","121.58","0.6492",,,,,
"2015-07-07","3.7486","0.9091","6.0911","122.53","0.6444",,,,,
"2015-07-06","3.7492","0.9055","6.0888","122.52","0.6421",,,,,
"2015-07-05","3.7454","0.8992","6.0855","122.70","0.6418",,,,,
"2015-07-04","3.7454","0.8992","6.0855","122.70","0.6418",,,,,
"2015-07-03","3.7491","0.9011","6.0870","122.92","0.6407",,,,,
"2015-07-02","3.7489","0.9031","6.0882","123.28","0.6407",,,,,
"2015-07-01","3.7479","0.9002","6.0883","122.78","0.6383",,,,,
"2015-06-30","3.7492","0.8943","6.0876","122.36","0.6358",,,,,
"2015-06-29","3.7491","0.9012","6.0888","122.72","0.6361",,,,,
"2015-06-28","3.7486","0.8944","6.0870","123.79","0.6346",,,,,
"2015-06-27","3.7486","0.8944","6.0870","123.79","0.6346",,,,,
"2015-06-26","3.7493","0.8940","6.0863","123.60","0.6353",,,,,
"2015-06-25","3.7493","0.8926","6.0866","123.68","0.6363",,,,,
"2015-06-24","3.7492","0.8936","6.0884","123.94","0.6354",,,,,
