,Country Name,Country Code,Indicator Name,Indicator Code,Time Period,Value,Status,Unnamed: 7
1357,Pakistan,564,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1980,8.950932052,,
1358,Pakistan,564,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1990,19.46444445,,
4089,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1969,13.91753646,,
5233,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2007,91.82845268,,
9901,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1969,33.20067232,,
10046,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1961,0.011896199,,
10118,Euro Area,163,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1999,0,,
12136,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1976,49.45390525,,
12390,Tunisia,744,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1958,8.432588866,,
12391,Tunisia,744,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1994,100.75,,
12584,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1954,13.77805396,,
14039,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1970,13.18702323,,
14623,Papua New Guinea,853,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1976,4.572140954,,
14754,Sri Lanka,524,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2006,75.70568701,,
19300,Switzerland,146,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1961,47.76705135,,
19671,Switzerland,146,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1949,49.26469818,,
20916,Solomon Islands,813,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1991,105.8823529,,
21983,Tunisia,744,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1990,100,,
28473,Rwanda,714,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1970,176.2100706,,
29543,Tunisia,744,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1962,7.445796551,,
29647,Tunisia,744,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1975,26.94064889,,
29648,Tunisia,744,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1983,68.91317547,,
33412,Tunisia,744,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1987,77.29204614,,
34569,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1989,74.42997336,,
35793,Sri Lanka,524,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1983,9.989836633,,
36509,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1968,0.014921456,,
36532,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1978,56.19344248,,
37004,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2000,74.76013189,,
37381,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1968,14.65840514,,
38046,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1954,11.91417741,,
38804,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1970,5.323953662,,
39952,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1972,34.75131406,,
40848,Syrian Arab Republic,463,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1985,105.9402985,,
41516,Switzerland,146,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1962,48.94940411,,
41517,Switzerland,146,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1985,100,,
42050,Syrian Arab Republic,463,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1976,59.37313433,,
42051,Syrian Arab Republic,463,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1984,108.2686567,,
42505,Sri Lanka,524,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1963,11.85548532,,
43319,Pakistan,564,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1988,16.43902526,,
44857,Morocco,686,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1953,11.67789754,,
44930,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2004,78.78479187,,
45767,Syrian Arab Republic,463,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1968,17.13006397,,
45895,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1983,64.67658596,,
47008,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1948,38.04416609,,
47091,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1960,70.03314512,,
47100,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1983,55.8121097,,
47574,South Africa,199,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1979,8.758562841,,
48520,Latvia,941,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2001,55.19617225,,
48521,Latvia,941,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2003,61.24401914,,
48772,Switzerland,146,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1969,59.16795069,,
50137,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1957,12.28017923,,
50397,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2010,100,,
52064,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1997,97.26533002,,
52619,Morocco,686,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1950,9.606012493,,
53393,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2000,88.16977012,,
54551,Rwanda,714,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1971,171.1193692,,
55061,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1952,77.26383035,,
55112,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1968,35.06445452,,
56292,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1966,0.013827719,,
58227,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1982,33.96493248,,
59325,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1993,53.9381896,,
59640,Solomon Islands,813,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1982,77.3993808,,
59769,Iceland,176,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2007,60.68719322,,
60771,Sri Lanka,524,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1982,7.787604276,,
